,feature_source,parameters,Full,KTH_brown_bread,KTH_corduroy,KTH_aluminium_foil,KTH_linen,KTH_wool,KTH_orange_peel,KTH_sponge,KTH_cracker,KTH_cork,KTH_cotton,KTH_styrofoam
0,lbp,P:4_R:32_method:uniform_n_bins:160,0.5825,0.0975609756097561,0.7890625,0.4537037037037037,0.6575875486381323,0.4444444444444444,0.36,0.17073170731707318,0.0,0.8194444444444444,0.6186770428015564,0.2682926829268293
0,lbp,P:4_R:32_method:uniform_n_bins:170,0.595,0.0975609756097561,0.80859375,0.47685185185185186,0.6498054474708171,0.4861111111111111,0.28,0.14634146341463414,0.029411764705882353,0.8194444444444444,0.6264591439688716,0.34146341463414637
0,lbp,P:4_R:32_method:uniform_n_bins:180,0.5825,0.0975609756097561,0.8046875,0.4537037037037037,0.6459143968871596,0.4675925925925926,0.28,0.12195121951219512,0.0,0.7962962962962963,0.6303501945525292,0.2682926829268293
0,lbp,P:4_R:32_method:uniform_n_bins:190,0.5925,0.12195121951219512,0.8203125,0.4398148148148148,0.669260700389105,0.4398148148148148,0.32,0.12195121951219512,0.058823529411764705,0.8148148148148148,0.6536964980544747,0.2926829268292683
0,lbp,P:4_R:32_method:uniform_n_bins:200,0.589375,0.07317073170731707,0.8046875,0.4583333333333333,0.6459143968871596,0.4537037037037037,0.4,0.12195121951219512,0.058823529411764705,0.8194444444444444,0.642023346303502,0.2926829268292683
0,glcm,"distances:[1, 2]_angles:[0.0, 0.7853981633974483, 1.5707963267948966, 2.356194490192345, 3.141592653589793]",0.790625,0.7317073170731707,0.7421875,0.8703703703703703,0.8715953307392996,0.8009259259259259,0.68,0.6829268292682927,0.47058823529411764,0.8101851851851852,0.7665369649805448,0.6585365853658537
0,lbp,P:4_R:64_method:uniform_n_bins:10,0.54625,0.024390243902439025,0.7578125,0.4722222222222222,0.6108949416342413,0.2777777777777778,0.16,0.0975609756097561,0.08823529411764706,0.8148148148148148,0.6536964980544747,0.12195121951219512
0,lbp,P:4_R:64_method:uniform_n_bins:20,0.549375,0.04878048780487805,0.77734375,0.4861111111111111,0.6147859922178989,0.2777777777777778,0.2,0.07317073170731707,0.11764705882352941,0.7962962962962963,0.642023346303502,0.14634146341463414
0,lbp,P:4_R:64_method:uniform_n_bins:30,0.53625,0.07317073170731707,0.76171875,0.4722222222222222,0.5836575875486382,0.24074074074074073,0.16,0.0975609756097561,0.11764705882352941,0.7870370370370371,0.6575875486381323,0.12195121951219512
0,lbp,P:4_R:64_method:uniform_n_bins:40,0.536875,0.04878048780487805,0.76953125,0.5,0.5719844357976653,0.25,0.16,0.12195121951219512,0.08823529411764706,0.7824074074074074,0.6303501945525292,0.1951219512195122
0,lbp,P:4_R:64_method:uniform_n_bins:50,0.531875,0.04878048780487805,0.75390625,0.48148148148148145,0.5758754863813229,0.25925925925925924,0.16,0.14634146341463414,0.029411764705882353,0.7731481481481481,0.6381322957198443,0.14634146341463414
